Name,Time,ParallelTime,Memory MB
EcsContext_ComponentLife_AddComponent_Shared,443,563,1235.84
EcsContext_ComponentLife_AddComponent_SharedX2,1898,1865,1468.99
EcsContext_ComponentLife_AddComponent_SharedX3,3673,3721,1474.45
EcsContext_ComponentLife_AddComponent_Standard,301,498,1590.87
EcsContext_ComponentLife_AddComponent_StandardX2,1282,1431,1604.36
EcsContext_ComponentLife_AddComponent_StandardX3,2251,2555,1144.24
EcsContext_ComponentLife_AddRemoveComponent_Unique,1211,-1,519.38
EcsContext_ComponentLife_AddRemoveComponent_UniqueX2,3228,-1,165.69
EcsContext_ComponentLife_AddRemoveComponent_UniqueX3,5249,-1,164.84
EcsContext_ComponentLife_RemoveAllComponents,133,310,1128.95
EcsContext_ComponentLife_RemoveComponent_Shared,368,365,1132.09
EcsContext_ComponentLife_RemoveComponent_SharedX2,1843,1419,1201.14
EcsContext_ComponentLife_RemoveComponent_SharedX3,3391,3176,1535.05
EcsContext_ComponentLife_RemoveComponent_Standard,357,463,1136.21
EcsContext_ComponentLife_RemoveComponent_StandardX2,1392,1350,1506.27
EcsContext_ComponentLife_RemoveComponent_StandardX3,2411,2057,1324.58
EcsContext_ComponentLife_ReplaceComponent_Shared,125,13,1502.79
EcsContext_ComponentLife_ReplaceComponent_SharedX2,3478,2065,1293.2
EcsContext_ComponentLife_ReplaceComponent_SharedX3,6130,3878,1465.32
EcsContext_ComponentLife_ReplaceComponent_Standard,123,14,1545.81
EcsContext_ComponentLife_ReplaceComponent_StandardX2,326,31,1172.66
EcsContext_ComponentLife_ReplaceComponent_StandardX3,486,47,1268.16
EcsContext_ComponentLife_ReplaceComponent_Unique,123,-1,525.99
EcsContext_ComponentLife_ReplaceComponent_UniqueX2,299,-1,166.58
EcsContext_ComponentLife_ReplaceComponent_UniqueX3,448,-1,166.59
EcsContext_EcsContext_FilterAll,171,305,192.69
EcsContext_EcsContext_FilterAll_GroupWith,559,1122,176.28
EcsContext_EcsContext_FilterAll_GroupWithX10,1017,2001,177.16
EcsContext_EcsContext_FilterAll_GroupWithX2,624,1281,176.21
EcsContext_EcsContext_FilterOne,157,277,189.58
EcsContext_EcsContext_FilterOne_GroupWith,632,1186,176.41
EcsContext_EcsContext_FilterOne_GroupWithX10,1014,2020,176.92
EcsContext_EcsContext_FilterOne_GroupWithX2,637,1265,176.7
EcsContext_EcsContext_GroupWith,609,1210,176.8
EcsContext_EcsContext_GroupWithX10,1063,2005,177.13
EcsContext_EcsContext_GroupWithX2,721,1226,176.64
EcsContext_EntityLife_CreateEntities,38,-1,573.64
EcsContext_EntityLife_CreateEntitiesBlueprint_Shared,143,-1,814.79
EcsContext_EntityLife_CreateEntitiesBlueprint_SharedStandard,191,-1,710.94
EcsContext_EntityLife_CreateEntitiesBlueprint_Standard,133,-1,676.2
EcsContext_EntityLife_CreateEntity,429,579,1855.76
EcsContext_EntityLife_CreateEntityBlueprint_Shared,744,758,1922.62
EcsContext_EntityLife_CreateEntityBlueprint_SharedStandard,714,803,1794.08
EcsContext_EntityLife_CreateEntityBlueprint_Standard,637,739,1897.86
EcsContext_EntityLife_CreateEntityReuse,56,385,1374.71
EcsContext_EntityLife_DestroyEntities,71,-1,807.59
EcsContext_EntityLife_DestroyEntity,94,336,1188.8
EcsContext_GetComponent_GetAllComponents_Shared,90,37,510.4
EcsContext_GetComponent_GetAllComponents_SharedStandard,122,37,177.63
EcsContext_GetComponent_GetAllComponents_Standard,94,35,177.55
EcsContext_GetComponent_GetAllComponents_Unique,91,35,177.49
EcsContext_GetComponent_GetAllComponents_UniqueShared,118,37,177.45
EcsContext_GetComponent_GetAllComponents_UniqueSharedStandard,147,40,177.44
EcsContext_GetComponent_GetAllComponents_UniqueStandard,121,37,177.43
EcsContext_GetComponent_HasComponent_Standard,60,33,177.43
EcsContext_GetEntity_GetEntities,48,-1,563.28
EcsContext_GetEntity_HasEntity,33,25,1264.36
EcsContext_GetWatcher_WatchAdded,199,369,518.05
EcsContext_GetWatcher_WatchAddedOrRemoved,228,396,191.02
EcsContext_GetWatcher_WatchAddedOrUpdated,243,436,194.39
EcsContext_GetWatcher_WatchRemoved,198,369,192.14
EcsContext_GetWatcher_WatchUpdated,207,405,192.61
EntityCommandQueue_ComponentLife_AddComponent_Shared,575,865,934.47
EntityCommandQueue_ComponentLife_AddComponent_SharedX2,2200,2157,1360
EntityCommandQueue_ComponentLife_AddComponent_SharedX3,3980,3499,1595.77
EntityCommandQueue_ComponentLife_AddComponent_Standard,436,677,1652.26
EntityCommandQueue_ComponentLife_AddComponent_StandardX2,1573,1558,1592.37
EntityCommandQueue_ComponentLife_AddComponent_StandardX3,2729,2380,1578.56
EntityCommandQueue_ComponentLife_AddRemoveComponent_Unique,1466,-1,601.6
EntityCommandQueue_ComponentLife_AddRemoveComponent_UniqueX2,3796,-1,291.21
EntityCommandQueue_ComponentLife_AddRemoveComponent_UniqueX3,6190,-1,400.47
EntityCommandQueue_ComponentLife_RemoveAllComponents,229,484,937.49
EntityCommandQueue_ComponentLife_RemoveComponent_Shared,516,742,1178.4
EntityCommandQueue_ComponentLife_RemoveComponent_SharedX2,2136,1976,1473.31
EntityCommandQueue_ComponentLife_RemoveComponent_SharedX3,3810,3326,1649.86
EntityCommandQueue_ComponentLife_RemoveComponent_Standard,506,715,1694.21
EntityCommandQueue_ComponentLife_RemoveComponent_StandardX2,1714,1569,1512.67
EntityCommandQueue_ComponentLife_RemoveComponent_StandardX3,2865,2450,1687.05
EntityCommandQueue_ComponentLife_ReplaceComponent_Shared,257,453,1678.49
EntityCommandQueue_ComponentLife_ReplaceComponent_SharedX2,3664,3516,1690.88
EntityCommandQueue_ComponentLife_ReplaceComponent_SharedX3,6454,5863,1736.04
EntityCommandQueue_ComponentLife_ReplaceComponent_Standard,266,472,1668.43
EntityCommandQueue_ComponentLife_ReplaceComponent_StandardX2,624,1012,1586.64
EntityCommandQueue_ComponentLife_ReplaceComponent_StandardX3,961,1507,1647.99
EntityCommandQueue_ComponentLife_ReplaceComponent_Unique,277,-1,225.23
EntityCommandQueue_ComponentLife_ReplaceComponent_UniqueX2,559,-1,216.49
EntityCommandQueue_ComponentLife_ReplaceComponent_UniqueX3,843,-1,252.52
EntityCommandQueue_EntityLife_CreateEntities,198,-1,370.31
EntityCommandQueue_EntityLife_CreateEntitiesBlueprint_Shared,531,-1,676.45
EntityCommandQueue_EntityLife_CreateEntitiesBlueprint_SharedStandard,486,-1,846.26
EntityCommandQueue_EntityLife_CreateEntitiesBlueprint_Standard,443,-1,879.5
EntityCommandQueue_EntityLife_CreateEntity,506,658,1119.88
EntityCommandQueue_EntityLife_CreateEntityBlueprint_Shared,851,1051,1057.88
EntityCommandQueue_EntityLife_CreateEntityBlueprint_SharedStandard,804,947,1061.32
EntityCommandQueue_EntityLife_CreateEntityBlueprint_Standard,732,915,1073.85
EntityCommandQueue_EntityLife_DestroyEntities,165,-1,1066.13
EntityCommandQueue_EntityLife_DestroyEntity,208,382,1102.78
EntityFilter_Create_AfterEntities,183,-1,1060.85
EntityFilter_Create_BeforeEntities,361,584,1701.19
EntityFilter_GetEntity_GetEntities,47,-1,1543.74
EntityFilter_GetEntity_HasEntity,34,24,2428.7
EntityFilter_GetWatcher_WatchAdded,211,365,1235.37
EntityFilter_GetWatcher_WatchAddedOrRemoved,244,373,170.64
EntityFilter_GetWatcher_WatchAddedOrUpdated,225,382,168.04
EntityFilter_GetWatcher_WatchRemoved,213,361,170.76
EntityFilter_GetWatcher_WatchUpdated,214,348,170.82
EntityFilterGroup_Create_AfterEntities,559,-1,661.3
EntityFilterGroup_Create_BeforeEntities,1575,1619,1247.67
EntityFilterGroup_GetEntity_GetEntities,47,-1,1494.72
EntityFilterGroup_GetEntity_HasEntities,31,25,2489.42
EntityFilterGroup_GetWatcher_WatchAdded,219,369,753.69
EntityFilterGroup_GetWatcher_WatchAddedOrRemoved,232,370,168.68
EntityFilterGroup_GetWatcher_WatchAddedOrUpdated,240,421,168.25
EntityFilterGroup_GetWatcher_WatchRemoved,209,387,168.73
EntityFilterGroup_GetWatcher_WatchUpdated,212,374,168.23
EntityGroup_Create_AfterEntities,556,-1,712.91
EntityGroup_Create_BeforeEntities,483,648,1255.91
EntityGroup_GetEntity_GetEntities,47,-1,1550.14
EntityGroup_GetEntity_HasEntity,34,25,2524.47
EntityGroup_GetWatcher_WatchAdded,209,392,1253.29
EntityGroup_GetWatcher_WatchAddedOrRemoved,234,397,168.26
EntityGroup_GetWatcher_WatchAddedOrUpdated,234,379,168.25
EntityGroup_GetWatcher_WatchRemoved,204,377,168.23
EntityGroup_GetWatcher_WatchUpdated,213,401,168.66
